City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Tautira,20,PF,1541302200,80.6,10.29,-17.73,-149.15,78
Busselton,0,AU,1541304297,65.16,15.05,-33.64,115.35,94
Nelson Bay,90,AU,1541302200,73.4,14.99,-32.72,152.14,69
Avarua,75,CK,1541300400,77,12.75,-21.21,-159.78,61
Mount Isa,0,AU,1541302200,100.4,14.99,-20.73,139.49,14
Bell Ville,12,AR,1541304297,65.65,7.9,-32.63,-62.69,66
Dong Hoi,92,VN,1541304298,78.84,3.76,17.48,106.6,99
Kirakira,92,SB,1541303797,77.04,17.18,-10.46,161.92,100
Faya,40,SA,1541300400,55.4,2.71,18.39,42.45,87
Barrow,0,AR,1541304298,50.8,3.04,-38.31,-60.23,91
Piney Green,1,US,1541303580,46.76,2.48,35.09,-78.48,84
Uruzgan,0,AF,1541304299,13.36,1.97,32.93,66.63,48
Aklavik,20,CA,1541300400,-0.41,4.32,68.22,-135.01,84
Newport,90,GB,1541303400,55.4,12.75,51.59,-3,100
Baruun-Urt,0,MN,1541303955,23.17,10.25,46.68,113.28,56
Hasaki,90,JP,1541302200,69.8,4.7,35.73,140.83,68
Vaini,48,IN,1541304061,74.65,5.88,15.34,74.49,93
Kavieng,48,PG,1541303936,83.88,8.34,-2.57,150.8,100
Trenggalek,32,ID,1541304348,86.62,4.32,-8.05,111.71,56
Launceston,75,AU,1541302200,60.8,21.92,-41.43,147.14,63
Torquay,92,GB,1541304349,55.53,23.44,50.47,-3.52,100
Gwadar,20,PK,1541304349,69.07,22.73,25.12,62.33,72
Pershotravneve,48,UA,1541304350,42.21,4.83,50.29,32.43,90
Narsaq,5,GL,1541299800,19.4,1.12,60.91,-46.05,48
Turbat,44,PK,1541304350,64.98,20.83,26,63.05,15
Bredasdorp,80,ZA,1541300400,60.8,14.99,-34.53,20.04,87
Punta Arenas,40,CL,1541300400,48.2,20.8,-53.16,-70.91,61
Jamestown,88,AU,1541304065,80.91,9.86,-33.21,138.6,46
Quixeramobim,0,BR,1541304351,79.6,13.15,-5.2,-39.3,71
Mount Gambier,24,AU,1541304221,64.57,7,-37.83,140.78,71
Dikson,68,RU,1541304104,24.52,21.09,73.51,80.55,95
Saint George,20,GR,1541301600,53.6,4.7,39.45,22.34,87
Assiniboia,20,CA,1541304306,28.8,9.57,49.63,-105.99,96
Chenzhou,0,CN,1541304351,73.26,3.83,25.81,113.03,75
Norman Wells,20,CA,1541300400,5,11.41,65.28,-126.83,84
Bandarbeyla,92,SO,1541303878,78.66,12.77,9.49,50.81,100
Port Elizabeth,1,US,1541303700,51.98,9.86,39.31,-74.98,89
Kingston,90,CA,1541303760,39.02,14.99,44.23,-76.48,72
Lagoa,0,PT,1541302200,53.6,4.7,37.14,-8.45,93
Quatre Cocos,40,MU,1541300400,75.2,6.11,-20.21,57.76,83
Husavik,12,CA,1541304056,24.21,2.71,50.56,-96.99,94
Saint-Philippe,75,CA,1541301300,39.2,19.46,45.36,-73.48,69
Chuy,0,UY,1541304094,54.36,3.27,-33.69,-53.46,96
Saldanha,8,PT,1541303755,33.61,2.98,41.42,-6.55,84
Pinega,92,RU,1541304354,38.11,3.87,64.7,43.39,98
Havelock,1,US,1541303640,53.06,6.93,34.88,-76.9,77
Coquimbo,0,CL,1541300400,55.4,5.77,-29.95,-71.34,87
Souillac,90,FR,1541302200,41,2.24,45.6,-0.6,93
Daru,64,SL,1541304080,74.16,2.08,7.99,-10.85,91
Navoi,20,IT,1541301600,59,5.82,46.17,11.83,82
Maraba,40,BR,1541300400,82.4,2.3,-5.35,-49.1,74
San Patricio,76,PY,1541304017,70.42,3.87,-26.98,-56.83,98
Ola,20,RU,1541302200,24.8,6.71,59.58,151.3,68
Westport,76,IE,1541304016,50.76,23.85,53.8,-9.52,94
Auxerre,90,FR,1541302200,33.8,4.7,47.8,3.58,100
Bluff,0,AU,1541304356,93.15,4.54,-23.58,149.07,36
Auki,8,NG,1541304357,61.74,2.75,12.18,6.51,71
Kodiak,90,US,1541303580,50,8.05,39.95,-94.76,92
Meulaboh,0,ID,1541304407,80.28,2.71,4.14,96.13,100
Castro,88,CL,1541304408,49.14,11.77,-42.48,-73.76,99
Ribeira Grande,8,PT,1541304408,67.41,19.04,38.52,-28.7,99
Swan Hill,0,AU,1541304408,78.52,9.86,-35.34,143.56,45
Bereda,92,ES,1541302200,53.6,6.93,43.27,-7.54,93
Pundaguitan,24,PH,1541304409,83.43,0.74,6.37,126.17,100
Kapaa,40,US,1541300160,82.94,17.22,22.08,-159.32,66
Lewisporte,90,CA,1541300400,59,16.11,49.25,-55.06,100
Killybegs,88,IE,1541304410,50.62,26.35,54.63,-8.45,100
Puerto Quijarro,24,BO,1541304410,72.13,3.87,-19,-57.72,98
Coihaique,75,CL,1541301600,44.6,3.36,-45.58,-72.07,93
Xuddur,0,SO,1541304223,72.67,7.4,4.12,43.89,74
Hofn,92,IS,1541304410,37.89,27.98,64.25,-15.21,100
Trapani,0,IT,1541301600,57.2,5.82,38.02,12.54,93
Mackay,90,CA,1541300400,35.6,5.82,53.65,-115.58,89
Turayf,75,SA,1541300400,53.6,6.93,31.68,38.65,100
Thinadhoo,80,MV,1541304411,82.08,5.5,0.53,72.93,100
Cabo San Lucas,5,MX,1541299620,75.2,4.32,22.89,-109.91,78
New Norfolk,75,AU,1541302200,62.6,17.22,-42.78,147.06,45
Meiganga,44,CM,1541304412,63.31,2.04,6.52,14.29,98
Leh,80,IN,1541304412,8.05,1.81,34.16,77.58,88
Sitka,0,US,1541304413,51.25,12.26,37.17,-99.65,47
Saravan,20,AM,1541304000,37.4,9.17,39.72,45.65,89
Kaitangata,56,NZ,1541304119,50.35,27.76,-46.28,169.85,75
Upernavik,24,GL,1541304413,18.58,10.31,72.79,-56.15,100
Puerto Penasco,0,MX,1541304223,76.68,9.08,31.32,-113.53,89
Hilo,90,US,1541301960,75.02,6.93,19.71,-155.08,84
Ponta do Sol,68,BR,1541304414,63.9,3.87,-20.63,-46,97
Jepara,44,ID,1541304414,85.18,5.1,-5.21,105.74,88
Brejo Santo,20,BR,1541300400,84.2,9.31,-7.49,-38.99,45
Te Anau,80,NZ,1541304221,45.22,11.92,-45.41,167.72,84
Cayenne,0,GF,1541302200,77,7.52,4.94,-52.33,88
Mahebourg,40,MU,1541300400,75.2,6.11,-20.41,57.7,83
Tasiilaq,88,GL,1541303400,23,16.11,65.61,-37.64,73
Thompson,90,CA,1541300400,21.2,4.7,55.74,-97.86,92
Khasan,12,RU,1541304416,56.11,3.83,42.43,130.64,84
Provideniya,68,RU,1541303998,35.1,4.83,64.42,-173.23,100
Sunderland,56,GB,1541303400,53.6,17.22,54.91,-1.38,87
Puerto Escondido,64,MX,1541304416,81.58,4.88,15.86,-97.07,100
Labytnangi,88,RU,1541304416,15.61,5.55,66.66,66.39,91
Haines Junction,88,CA,1541304417,5.13,2.37,60.75,-137.51,89
Sorland,92,NO,1541304417,48.51,38.83,67.67,12.69,100
Kysyl-Syr,56,RU,1541304417,11.61,5.88,63.9,122.77,63
Faanui,8,PF,1541304417,82.66,7.11,-16.48,-151.75,100
Hervey Bay,0,AU,1541303874,78.84,11.77,-25.3,152.85,82
Chumikan,0,RU,1541304127,24.48,15.9,54.72,135.31,84
Wellington,56,NZ,1541302200,62.6,21.92,-41.29,174.78,45
Buala,64,SB,1541304472,85,7.56,-8.15,159.59,85
Bethel,40,US,1541299980,26.06,9.17,60.79,-161.76,80
Jalu,0,LY,1541304477,53.46,3.49,29.03,21.55,79
San Policarpo,88,PH,1541304478,81.76,8.12,12.18,125.51,98
Atambua,0,ID,1541304478,86.76,4.05,-9.11,124.89,84
Anori,68,BR,1541304478,76.23,1.74,-3.74,-61.66,96
Menongue,64,AO,1541304478,69.52,3.31,-14.66,17.68,67
Danielskuil,8,ZA,1541304479,69.75,20.04,-28.19,23.54,29
San Ignacio,0,CL,1541300400,51.8,2.98,-36.8,-72.03,87
Pevek,76,RU,1541303883,12.91,2.26,69.7,170.27,100
Arraial do Cabo,56,BR,1541304328,76.63,16.06,-22.97,-42.02,84
Altay,12,CN,1541304480,3.28,2.3,47.83,88.13,60
Sao Joao da Barra,24,BR,1541304480,77.4,26.24,-21.64,-41.05,94
Russell,0,AR,1541300400,69.8,3.36,-33.01,-68.8,43
Longyearbyen,88,NO,1541304161,27.09,12.44,78.22,15.63,100
Honningsvag,68,NO,1541304077,37.48,6.85,70.98,25.97,100
Otane,0,NZ,1541304481,58.05,19.42,-39.89,176.62,50
Tiarei,20,PF,1541302200,80.6,10.29,-17.53,-149.33,78
Fairbanks,1,US,1541300280,8.96,3.27,64.84,-147.72,88
Ostrovnoy,80,RU,1541304481,32.4,3.38,68.05,39.51,100
Terre Haute,40,US,1541302500,50,9.17,39.47,-87.41,76
Palamos,20,ES,1541304000,48.2,3.36,41.85,3.13,100
Villa Carlos Paz,0,AR,1541300400,68,3.36,-31.42,-64.5,82
Sulat,88,PH,1541304483,81.76,8.12,11.81,125.45,98
Grindavik,40,IS,1541300400,33.8,24.16,63.84,-22.43,74
Nikolskoye,75,RU,1541302200,35.6,4.47,59.7,30.79,93
Pemberton,0,AU,1541304483,71.41,15.61,-34.44,116.03,41
Nouadhibou,56,MR,1541300400,66.2,13.87,20.93,-17.03,88
Yenagoa,88,NG,1541304484,74.43,3.38,4.92,6.26,94
Moissala,24,TD,1541304484,77.26,7.78,8.34,17.77,67
Severo-Kurilsk,64,RU,1541304484,45.58,13.11,50.68,156.12,89
Butaritari,0,KI,1541304485,84.51,6.4,3.07,172.79,100
Sabang,36,PH,1541304485,83.02,10.65,13.72,123.58,89
Santa Rosa,0,AR,1541304486,64.8,13.6,-36.62,-64.29,53
Karratha,0,AU,1541304226,99.99,11.1,-20.74,116.85,16
Hit,92,IQ,1541304487,59.71,8.57,33.64,42.83,92
Puerto del Rosario,75,ES,1541302200,69.8,13.87,28.5,-13.86,64
Esil,88,KZ,1541304487,31.36,9.01,51.96,66.41,92
Karema,88,TZ,1541304488,63.54,2.04,-6.82,30.44,97
Isangel,68,VU,1541304046,76.05,16.35,-19.55,169.27,100
Pangnirtung,80,CA,1541304488,12.15,4.27,66.15,-65.72,100
North Bend,1,US,1541303760,51.98,3.36,43.41,-124.22,96
Port Lincoln,92,AU,1541303994,66.37,3.38,-34.72,135.86,77
Tulum,40,MX,1541299620,78.8,8.05,20.21,-87.46,88
Namibe,8,AO,1541304489,69.43,11.54,-15.19,12.15,100
Minab,0,IR,1541302200,73.4,13.87,27.15,57.07,15
Alcaniz,12,ES,1541304529,28.21,2.19,41.05,-0.13,75
Matara,92,PE,1541304531,44.05,1.86,-13.74,-72.9,99
Grand Gaube,40,MU,1541300400,75.2,11.32,-20.01,57.66,83
Simao,0,CN,1541304532,71.5,2.75,22.76,100.79,57
Heihe,0,RU,1541302200,24.8,11.18,50.24,127.51,35
Ruggell,12,CH,1541303400,48.2,2.24,47.24,9.53,93
Shahrud,8,IR,1541304533,18.67,2.75,36.42,54.97,71
Queanbeyan,0,AU,1541302200,82.4,16.11,-35.35,149.23,18
Ancona,90,US,1541302500,48.02,11.41,41.04,-88.87,98
Clonakilty,75,IE,1541304000,46.4,6.93,51.62,-8.87,87
Batouri,92,CM,1541304534,67.27,4.88,4.44,14.36,99
Saint-Georges,92,CA,1541304534,34.56,15.79,46.12,-70.67,90
Tvrdosin,90,SK,1541302200,51.8,2.24,49.34,19.56,100
Half Moon Bay,5,US,1541303220,68,5.82,37.46,-122.43,67
Dubbo,56,AU,1541302200,80.6,5.82,-32.25,148.6,30
Fianarantsoa,20,MG,1541304296,57.51,3.38,-21.45,47.09,98
Shakawe,88,BW,1541304535,65.92,5.77,-18.36,21.84,83
Darnah,0,LY,1541304536,72.22,8.41,32.77,22.64,100
Chokurdakh,32,RU,1541304536,-10.36,3.38,70.62,147.9,72
Hovd,0,NO,1541303400,50,13.87,63.83,10.7,66
Torbay,90,CA,1541300400,62.6,18.34,47.66,-52.73,93
Greensburg,1,US,1541303580,57.2,5.82,30.83,-90.67,80
Cherskiy,64,RU,1541303968,-4.6,2.98,68.75,161.3,80
Cidreira,76,BR,1541304537,64.44,5.77,-30.17,-50.22,95
Victoria,75,BN,1541302200,89.6,2.24,5.28,115.24,70
Zyryanovsk,88,KZ,1541304538,21.91,2.3,49.74,84.27,87
Halifax,75,CA,1541300400,50,28.86,44.65,-63.58,76
Siverek,75,TR,1541301600,57.2,6.93,37.75,39.32,47
Xichang,24,CN,1541304539,53.64,1.7,27.88,102.25,54
Chernyshevskiy,76,RU,1541304539,19.48,8.12,63.01,112.47,87
Kaeo,0,NZ,1541304539,68.04,21.54,-35.1,173.78,51
Hobyo,0,SO,1541304539,74.38,5.61,5.35,48.53,91
Moron,40,VE,1541300400,77,2.86,10.49,-68.2,78
Atar,32,MR,1541304450,54.18,3.83,20.52,-13.05,81
Rio Gallegos,75,AR,1541300400,59,19.46,-51.62,-69.22,53
Tual,56,ID,1541304451,80.01,2.04,-5.67,132.75,100
Pitsunda,0,GE,1541302200,51.8,4.47,43.16,40.34,66
Airai,8,TL,1541304099,86.49,1.03,-8.93,125.41,50
Port Hedland,0,AU,1541302200,96.8,14.99,-20.31,118.58,30
Sao Filipe,0,CV,1541304541,77.58,15.39,14.9,-24.5,97
Miri,64,NG,1541304541,70.2,2.53,10.31,9.75,58
Kambove,88,CD,1541304541,61.38,2.37,-10.88,26.6,96
Victor Harbor,0,AU,1541302200,73.4,6.93,-35.55,138.62,43
Bintulu,75,MY,1541300400,82.4,4.7,3.17,113.03,88
Amapa,75,HN,1541300400,80.6,2.24,15.09,-87.97,83
Severo-Yeniseyskiy,64,RU,1541304595,13.59,8.01,60.37,93.04,56
Hamilton,20,BM,1541300100,73.4,10.29,32.3,-64.78,78
Dingle,24,PH,1541304443,85.9,12.15,11,122.67,70
Comarapa,64,BO,1541304598,57.82,1.52,-17.91,-64.53,94
Kualakapuas,12,ID,1541304598,87.07,3.83,-3.01,114.39,81
Muscat,0,OM,1541299800,71.6,2.24,23.6,58.55,60
Les Cayes,20,HT,1541304598,82.3,9.13,18.19,-73.75,99
Buraydah,90,SA,1541302200,60.8,3.36,26.33,43.97,100
Gilgit,0,PK,1541304599,10.71,0.58,35.92,74.31,84
Luwingu,56,ZM,1541304599,68.26,7.11,-10.26,29.92,56
Bandar-e Lengeh,36,IR,1541300400,75.2,16.11,26.56,54.88,36
Gampaha,20,LK,1541301000,80.6,6.93,7.09,80,78
Waingapu,12,ID,1541304600,87.25,6.89,-9.65,120.26,74
Khatanga,68,RU,1541304600,6.16,14.12,71.98,102.47,80
Fortuna,0,ES,1541304000,50,6.93,38.18,-1.13,76
Condega,36,NI,1541304601,73.03,5.39,13.36,-86.4,76
Biggar,48,GB,1541303400,50,13.87,55.62,-3.52,81
Kyshtovka,68,RU,1541304601,6.75,9.13,56.56,76.62,72
Jaciara,76,BR,1541304601,72,3.04,-15.95,-54.98,99
Abay,90,KZ,1541302200,30.2,4.47,49.63,72.87,100
Vangaindrano,80,MG,1541304602,62.46,3.6,-23.35,47.6,100
Kadyy,92,RU,1541304602,43.06,11.14,57.79,43.19,98
Fort Dodge,90,US,1541302500,42.8,19.46,42.5,-94.17,100
Walvis Bay,92,NA,1541304603,59.98,8.3,-22.95,14.51,100
Bathsheba,40,BB,1541300400,80.6,14.99,13.22,-59.52,78
Ngunguru,0,NZ,1541304603,66.55,22.55,-35.62,174.5,77
Khvastovichi,90,RU,1541300400,46.4,6.71,53.47,35.09,100
Nome,90,US,1541301300,73.04,6.93,30.04,-94.42,71
Qaqortoq,5,GL,1541303400,19.4,4.7,60.72,-46.03,52
Caceres,88,CO,1541304604,66.37,0.96,5.53,-74.53,100
Clyde River,90,CA,1541300400,8.6,11.41,70.47,-68.59,84
Hun,20,BE,1541303700,39.2,4.7,50.34,4.87,86
Margate,75,AU,1541302200,62.6,17.22,-43.03,147.26,45
Tomatlan,88,MX,1541304577,72.63,1.03,19.93,-105.25,85
Nago,20,IT,1541301600,53.6,2.24,45.88,10.89,100
Okha,80,RU,1541304605,30.82,27.65,53.59,142.95,84
Belyy Yar,0,RU,1541302200,33.8,20.13,53.6,91.39,59
Ahuimanu,75,US,1541302260,80.96,3.36,21.44,-157.84,78
Havoysund,88,NO,1541303400,41,20.8,71,24.66,65
Salalah,0,OM,1541299800,75.2,4.7,17.01,54.1,60
Baykit,44,RU,1541304606,8.46,10.25,61.68,96.39,69
Mangaratiba,90,BR,1541300400,75.2,18.34,-22.96,-44.04,94
Zelenoborskiy,20,RU,1541304650,32.98,8.52,66.84,32.36,95
Chicama,40,PE,1541300400,64.4,9.17,-7.84,-79.15,88
Zhaotong,80,CN,1541304651,51.75,3.2,27.34,103.71,87
Blackfoot,1,US,1541299980,42.98,16.11,43.19,-112.35,57
Beloha,44,MG,1541304651,66.1,11.92,-25.17,45.06,77
Tuktoyaktuk,40,CA,1541300400,-0.41,5.82,69.44,-133.03,84
Marystown,92,CA,1541304652,56.88,29.1,47.17,-55.16,88
Trairi,80,BR,1541304652,80.68,19.19,-3.28,-39.27,99
Komsomolskiy,44,RU,1541304652,12.28,2.82,67.55,63.78,79
Naze,76,NG,1541304652,74.61,4.09,5.43,7.07,93
Kota Kinabalu,75,MY,1541302200,91.4,5.82,5.98,116.07,70
Martapura,20,ID,1541304653,88.6,3.31,-3.41,114.85,76
Yaan,24,NG,1541304653,73.71,7.56,7.38,8.57,92
Am Timan,0,TD,1541304653,67.86,3.09,11.04,20.28,79
Southbridge,1,US,1541303760,46.94,11.41,42.08,-72.03,57
Tiksi,48,RU,1541304654,-0.19,9.86,71.64,128.87,75
Erzin,0,TR,1541301600,66.2,10.29,36.95,36.2,42
Leningradskiy,80,RU,1541304654,28.66,11.25,69.38,178.42,98
Vanavara,68,RU,1541304654,23.53,8.79,60.35,102.28,73
Luena,12,AO,1541304655,62.77,2.59,-11.78,19.91,95
Irituia,20,BR,1541304655,76.05,6.78,-1.77,-47.44,88
Zatoka,90,PL,1541304000,50,11.41,50.04,20.52,100
Port Blair,0,IN,1541304656,84.37,15.39,11.67,92.75,98
Onega,92,RU,1541304656,42.61,13.27,63.91,38.09,100
Aykhal,56,RU,1541304656,9.58,5.06,65.95,111.51,78
Saint Anthony,90,US,1541300160,42.98,13.87,43.97,-111.68,55
Bambous Virieux,40,MU,1541300400,75.2,6.11,-20.34,57.76,83
Grand-Lahou,48,CI,1541304657,74.79,3.27,5.24,-5,94
San Jose,0,PH,1541304085,83.65,2.86,15.79,120.99,78
Vima Mica,12,RO,1541302200,53.6,1.12,47.4,23.72,87
Lasa,0,CY,1541304000,73.4,4.7,34.92,32.53,52
Saskylakh,64,RU,1541304657,-3.16,3.31,71.97,114.09,74
Smoky Lake,64,CA,1541304658,29.25,5.61,54.11,-112.47,80
Kedrovyy,75,RU,1541302200,19.4,15.66,56.17,91.82,67
Tuatapere,68,NZ,1541304658,49.41,23.55,-46.13,167.69,100
Bezhetsk,76,RU,1541304659,43.11,16.46,57.78,36.69,96
San Ramon,100,NI,1541304659,71.19,2.86,12.92,-85.84,89
Nizwa,8,OM,1541304659,54.09,2.3,22.93,57.53,51
Tevaitoa,12,PF,1541304659,80.46,4.83,-16.78,-151.5,100
Pyaozerskiy,88,RU,1541304660,33.75,7.52,65.83,31.17,91
Teguise,88,ES,1541304000,68,9.17,29.06,-13.56,72
Luderitz,44,NA,1541300400,60.8,5.82,-26.65,15.16,72
Chimore,76,BO,1541304660,77.58,2.53,-16.98,-65.13,87
Nadym,12,RU,1541304708,-3.29,3.87,65.53,72.51,51
Saint-Joseph,0,FR,1541304000,62.6,4.7,43.56,6.97,77
Lufilufi,48,WS,1541304715,81.45,23.06,-13.87,-171.6,100
Huzhou,64,CN,1541304717,67.5,6.29,30.86,120.1,91
North Battleford,75,CA,1541303040,30.2,9.17,52.78,-108.3,92
Antofagasta,90,CL,1541300400,60.8,6.93,-23.65,-70.4,77
Ponnani,40,IN,1541304000,82.4,6.93,10.77,75.93,83
Pauini,20,BR,1541304726,73.26,3.04,-7.71,-67,98
Gap,0,FR,1541304726,29.02,2.04,44.56,6.08,100
Mahajanga,20,MG,1541300400,77,4.7,-15.72,46.32,73
Along,92,IN,1541304727,56.79,1.86,28.17,94.8,99
Lenger,20,KZ,1541302200,35.6,1.97,42.18,69.89,68
Derzhavinsk,88,KZ,1541304727,30.55,6.22,51.1,66.31,90
Labuhan,20,ID,1541304727,85.18,1.97,-2.54,115.51,74
Noumea,0,NC,1541302200,86,13.87,-22.28,166.46,37
Sheridan,90,US,1541302920,42.8,5.82,39.65,-105.03,75
Lebu,0,ET,1541304685,38.79,2.71,8.96,38.73,82
Kizema,88,RU,1541304728,40.5,8.79,61.11,44.83,96
Brae,92,GB,1541303400,53.6,24.16,60.4,-1.35,81
Tadine,0,NC,1541304729,75.91,14.16,-21.55,167.88,91
Waipawa,0,NZ,1541304729,58.18,26.08,-39.94,176.59,54
Berlin,75,DE,1541303400,46.4,4.7,52.52,13.39,93
Vostok,8,RU,1541304729,32.53,3.71,46.45,135.83,62
Geraldton,90,CA,1541300400,26.6,3.36,49.72,-86.95,86
Pacific Grove,1,US,1541302500,66.2,4.83,36.62,-121.92,24
Port Moresby,40,PG,1541300400,89.6,17.22,-9.47,147.16,66
Camopi,8,GF,1541304730,79.42,3.76,3.17,-52.33,73
Praya,75,ID,1541304000,86,12.75,-8.71,116.27,74
Broken Hill,0,AU,1541304569,86.76,5.61,-31.97,141.45,44
Baturaja,36,ID,1541304731,83.47,4.61,-4.12,104.17,82
Melission,20,GR,1541303400,48.2,8.05,40.77,22.34,81
Merritt Island,1,US,1541300160,75.02,4.7,28.54,-80.67,73
Cockburn Town,88,TC,1541304731,81.9,19.08,21.46,-71.14,99
Kruisfontein,36,ZA,1541304597,63.99,13.04,-34,24.73,67
Ingham,76,AU,1541304732,78.16,7.63,-18.65,146.16,94
Mbigou,88,GA,1541304732,70.11,2.59,-1.9,11.91,96
Verkhniy Fiagdon,0,RU,1541304732,17.01,0.96,42.83,44.31,84
Beaverlodge,90,CA,1541304300,26.6,8.05,55.21,-119.43,100
Vardo,1,US,1541303700,46.94,4.7,39.62,-77.74,92
Ca Mau,88,VN,1541304733,84.82,13.67,9.18,105.15,88
Shimoda,75,JP,1541302620,59,9.17,34.7,138.93,93
Pochutla,36,MX,1541304733,80.46,7,15.74,-96.47,100
Dasoguz,0,TM,1541302200,28.4,4.7,41.84,59.97,73
Novoseleznevo,88,RU,1541304734,30.46,13.27,55.68,69.21,94
Myaundzha,76,RU,1541304734,1.89,5.21,63.05,147.18,78
Lorengau,56,PG,1541304768,83.56,7.52,-2.02,147.27,100
Ayia Galini,40,GR,1541303400,66.2,9.17,35.1,24.68,88
Harper,90,US,1541303700,61.7,8.41,30.3,-99.24,81
San Clemente,90,US,1541300280,75.02,2.71,33.43,-117.61,96
Faro,0,PT,1541302200,53.6,4.7,37.02,-7.94,93
Portland,90,US,1541303580,55.04,5.82,45.52,-122.67,89
Samarskoye,76,RU,1541304779,39.73,7,46.94,39.69,91
Sidi Ali,0,DZ,1541304782,41.13,2.75,36.1,0.42,90
Lavrentiya,76,RU,1541304596,36.63,9.57,65.58,-170.99,100
Acoua,75,YT,1541302200,80.6,10.29,-12.72,45.06,78
Praia,24,BR,1541304787,65.83,2.26,-20.25,-43.81,82
Rodeo,0,MX,1541304788,50.26,2.48,25.18,-104.56,77
Gamba,0,CN,1541304790,18.58,2.98,28.28,88.52,46
Isabela,44,PH,1541304791,85.63,3.31,10.2,122.99,70
Shimorskoye,92,RU,1541304792,44.5,10.76,55.33,42.04,99
Santa Fe,0,AR,1541304576,68.04,7.4,-31.62,-60.7,58
Harpanahalli,76,IN,1541304794,75.01,9.31,14.8,75.98,78
Lagos,20,NG,1541300400,77,3.36,6.46,3.39,94
Kuusamo,90,FI,1541303400,32,8.05,65.96,29.19,94
Coahuayana,92,MX,1541304626,63.85,1.81,18.62,-100.35,97
Durres,0,AL,1541303400,50,4.38,41.32,19.44,93
Kassala,0,SD,1541304800,67.81,3.2,15.45,36.38,74
Lubao,75,PH,1541304000,93.2,4.7,14.94,120.6,55
Aswan,0,EG,1541304801,56.2,2.53,24.09,32.9,94
Buta,88,CD,1541304801,71.01,1.74,2.79,24.73,98
Ambon,0,FR,1541304000,44.6,8.05,47.55,-2.56,87
Alamosa,1,US,1541299920,35.06,8.05,37.47,-105.87,56
Puerto Madryn,8,AR,1541304802,61.38,15.35,-42.77,-65.04,58
Mogadishu,8,SO,1541304802,80.86,5.99,2.04,45.34,98
Sur,0,OM,1541304223,77.4,13.11,22.57,59.53,98
Mglin,80,RU,1541304802,46.53,3.04,53.06,32.85,98
Kuito,56,AO,1541304803,59.26,2.86,-12.38,16.94,93
Tateyama,75,JP,1541300400,60.8,3.36,36.66,137.31,67
Stara Vyzhivka,92,UA,1541304803,50.76,8.9,51.44,24.44,95
Jumla,92,NP,1541304803,30.82,0.69,29.28,82.18,100
Sao Felix do Xingu,12,BR,1541304804,75.24,1.97,-6.64,-51.99,95
Kodinar,0,IN,1541304804,79.87,4.32,20.79,70.7,48
La Ronge,90,CA,1541300400,32,8.05,55.1,-105.3,89
Canmore,40,CA,1541304000,37.4,3.36,51.09,-115.35,59
Prainha,24,BR,1541304805,80.23,2.59,-1.8,-53.48,83
Morondava,0,MG,1541304805,71.01,8.23,-20.3,44.28,89
